Comment,Part Number,Supplier,Quantity,Unit Price (INR),Total (INR),Notes
"JSN-SR04T Waterproof Ultrasonic Sensor","JSN-SR04T","AliExpress/Robu",1,150,150,"Includes control board + waterproof probe + 2.5m cable"
"JST-XH 4P Female Housing with Wires","XH2.54-4P-Wire","LCSC/Local",1,15,15,"Pre-crimped 30cm cable, connects sensor to PCB"
"USB-C Cable 1m (Sensor Node)","USB-C-1M","Local",1,50,50,"Data+Power capable"
"USB-C Cable 1m (Controller Node)","USB-C-1M","Local",1,50,50,"Data+Power capable"
"USB-C Cable 1m (Router Node)","USB-C-1M","Local",1,50,50,"Only for Extended Kit"
"2-Core Wire 1.5mm² (Pump Connection)","2C-1.5SQ-1M","Local",1,30,30,"1 meter, for relay to pump"
"Cable Gland PG7","PG7-GLAND","Local",1,10,10,"For sensor cable entry to enclosure"
"Heat Shrink Tubing Set","HST-SET","Local",1,20,20,"Assorted sizes for wire protection"
"M2x5mm Self-Tapping Screw (PCB Mount)","M2x5-ST","Local",8,0.50,4,"4 per node, mount PCB to standoffs"
"M2x8mm Screw (Enclosure Assembly)","M2x8-PH","Local",8,0.50,4,"4 per node, close top/bottom case"
"M3x12mm Screw (Wall Mount)","M3x12-PH","Local",8,1,8,"4 per node, mount enclosure to wall"
"M3 Wall Plug/Rawl Plug","M3-PLUG","Local",8,0.50,4,"For concrete/brick wall mounting"
"Rubber Feet (Self-Adhesive)","FEET-8MM","Local",8,1,8,"4 per node, for table-top placement"
"Quick Start Guide (Printed)","QSG-EN-HI","Print",1,10,10,"English + Hindi, A5 folded"
"Warranty Card","WARRANTY","Print",1,5,5,"With serial number sticker"
"Product Box (Basic Kit)","BOX-BASIC","Print",1,35,35,"200x150x80mm, 300GSM, matte + spot UV"
"Product Box (Extended Kit)","BOX-EXT","Print",1,40,40,"250x180x100mm, 300GSM, matte + spot UV"
"Internal Foam Tray","TRAY-FOAM","Local",1,10,10,"Custom cut to hold all components"
"Barcode/Serial Stickers","STICKER-SN","Print",3,2,6,"One per node + box"

